,몸무게,운동시간,거리,속도,케이던스,페이스,심박수(max),심박수(avg),칼로리 소모,비고
2026.03.06,73.5,30,4.47,9.2,,"6'43""",176,167,371,
2026.03.07,73.4,30,4.52,9.5,169,"6'17""",180,165,365,
2026.03.08,73.6,30,4.78,9.3,171,"6'25""",173,162,390,
2026.03.09,,,,,,,,,,근력운동
2026.03.10,72.9,30,4,7.5,135,"8'00""",174,162,337,manual
2026.03.11,73.4,30,4.74,9.2,169,"6'32""",171,151,392,
2026.03.12,72.5,30,4.46,8.9,160,"6'43""",174,162,364,
2026.03.13,72.3,30,4.62,8.8,157,"6'49""",180,160,390,
2026.03.14,,,,,,,,,,감기
2026.03.15,,,,,,,,,,감기
2026.03.16,72.5,30,4.68,9.3,164,"6'27""",176,158,388,
2026.03.17,72,30,4.57,9.1,160,"6'36""",181,164,372,
2026.03.18,72.3,35,5.1,8.5,163,"7'04""",162,152,407,
2026.03.19,72.5,35,4.98,8.5,158,"7'04""",162,152,407,
2026.03.20,72.2,35,5.1,8.7,162,"6'54""",164,154,427,
2026.03.21,72,26,3.86,8.7,114,"6'50""",179,163,260,with kid
2026.03.22,,,,,,,,,,감기
2026.03.23,72.3,35,5.12,8.7,162,"6'54""",169,154,427,
2026.03.24,72.5,35,4.99,8.7,155,"7'01""",165,152,420,
2026.03.25,,,,,,,,,,약속
2026.03.26,72.5,35,4.97,8.4,157,"7'09""",164,153,414,
2026.03.27,72.4,32,4.6,8.5,160,"7'04""",168,157,383,
2026.03.28,72.1,45,6.81,9,171,"6'39""",165,154,535,
2026.03.29,,,,,,,,,,
2026.03.30,,,,,,,,,,
2026.03.31,,,,,,,,,,
2026.03.32,,,,,,,,,,
2026.03.33,,,,,,,,,,
2026.03.34,,,,,,,,,,
2026.03.35,,,,,,,,,,
2026.03.36,,,,,,,,,,
2026.03.37,,,,,,,,,,
2026.03.38,,,,,,,,,,
2026.03.39,,,,,,,,,,
2026.03.40,,,,,,,,,,
2026.03.41,,,,,,,,,,
